,unit_id,structure,is_qc_pass,spike_times
0,713655_2024-08-09_A-3,AV,True,"[  21.58989847   25.37692111   26.38715159 ... 7678.89374234 7679.06160853
 7679.21120811]"
1,713655_2024-08-09_A-8,AV,True,"[  20.52976813   20.66936773   20.76706746 ... 7679.81297307 7680.18733868
 7680.34160492]"
2,713655_2024-08-09_A-11,AV,True,"[  20.66703441   20.6815677    21.05383331 ... 7680.63817074 7680.69697058
 7680.79610363]"
3,713655_2024-08-09_A-19,AV,True,"[  20.29723545   20.38506853   20.39233518 ... 7680.79027032 7680.84403683
 7680.91293664]"
4,713655_2024-08-09_A-35,AD,True,"[ 234.53883047  307.03232576  468.94463522  540.13046754  568.22635487
  583.1000462   733.08462267  765.41533138  798.35390503  802.81735909
  803.27849112  808.43227657  858.55960169  876.91684985  892.83047158
  907.74632946  910.10175614  944.42985921  959.68078281  971.2166169
 1015.68812465 1040.58838767 1058.36030415 1071.84876606 1078.54891381
 1080.93327374 1089.5885493  1114.79547812 1121.00456059 1147.75225173
 1156.72795971 1161.44804639 1168.02216116 1182.45232041 1187.2126403
 1190.94292976 1197.43824476 1197.96670993 1201.73473262 1216.50122426
 1218.00485335 1232.81124487 1236.44536794 1241.23342109 1263.06625944
 1268.27374473 1271.44083579 1282.38410489 1291.22711325 1292.78464218
 1298.13129375 1313.35671742 1343.86303128 1353.55467058 1356.827628
 1362.29027925 1368.00326311 1374.88744367 1379.98556261 1386.576544
 1391.72832945 1394.51778824 1404.33876051 1404.66519292 1408.1316498
 1416.46219294 1420.72274758 1427.22202922 1440.27219237 1461.18229999
 1474.52552898 1476.00105815 1478.52791768 1487.33065949 1491.2330818
 1499.27665909 1502.07278453 1505.67750768 1511.66332411 1512.40772201
 1522.59902656 1541.92807198 1544.70529747 1550.8676134  1551.57424474
 1554.22253726 1555.65336656 1558.67579136 1560.25505356 1561.80681585
 1566.25640328 1566.63763554 1567.26703376 1570.24369202 1574.44534683
 1576.69904046 1586.72694548 1590.87126711 1600.82243901 1604.55859512
 1604.94532737 1604.96266065 1618.59248883 1629.44805817 1635.176042
 1645.13908053 1659.72603934 1671.23427351 1672.25047064 1688.54132464
 1690.7159185  1711.00466121 1717.85050854 1723.61399227 1737.36558677
 1745.24856451 1754.96077042 1770.14876086 1775.33274622 1781.86799444
 1795.20902343 1821.44271602 1824.59240712 1825.4142048  1840.7480615
 1848.45587307 1851.9974964  1855.73841917 1860.71577178 1861.16300386
 1866.54632199 1873.3058029  1882.66527647 1899.18432982 1902.64462005
 1912.8276913  1913.50375605 1914.69601935 1915.8718827  1923.12346222
 1928.49814705 1940.54887968 1947.28176067 1949.59492081 1949.77568696
 1951.99941402 1955.50083746 1959.10209396 1981.62516369 1986.95938196
 1988.53707751 2001.91163974 2006.13639448 2006.84199249 2007.24109136
 2008.21378861 2010.91521432 2017.17792996 2046.38588082 2070.44427955
 2074.8761337  2079.37455433 2084.59377293 2088.28406251 2092.65551683
 2108.74727139 2115.36928602 2116.68464898 2117.30358056 2119.33640816
 2120.15647251 2121.66396825 2128.78331481 2131.80647294 2133.3787685
 2136.21052717 2141.74317822 2145.72086698 2157.9099659  2162.47878633
 2164.08714845 2166.64147457 2181.57276574 2188.25704687 2188.92644498
 2195.93909184 2205.78273071 2210.96158276 2234.16471723 2245.9700839
 2247.98014489 2250.61633745 2269.23401821 2270.43071483 2282.89067964
 2293.48788305 2296.46014132 2297.93073717 2303.87975371 2320.53287335
 2322.88980003 2335.03103241 2341.3959811  2348.17532862 2353.87697919
 2356.11107288 2363.64225161 2371.0360974  2379.5824066  2381.56300101
 2382.19526589 2383.57579533 2389.46464536 2394.4079314  2420.00085913
 2420.35162481 2431.09789447 2444.09859109 2446.88561655 2447.38198182
 2458.68738322 2467.47259175 2475.26226975 2475.34730285 2479.83505684
 2487.3212357  2487.63490148 2488.14016672 2494.20821625 2507.17211298
 2507.72114476 2510.27173756 2512.47616467 2513.53062836 2517.03458513
 2533.64533822 2537.32512783 2551.5243544  2574.54048941 2575.4767201
 2578.26527889 2581.93390187 2587.73835214 2595.70249632 2598.42925529
 2607.23533042 2611.99228365 2613.39904635 2615.1625747  2617.82043386
 2622.16688826 2624.30278222 2627.79987235 2629.01963557 2646.29075347
 2649.58301084 2679.76132562 2685.26577674 2685.9167749  2706.09901791
 2713.13939803 2715.6877575  2727.89258971 2733.62254019 2736.42459895
 2743.10548008 2746.65537006 2746.81070295 2764.97548499 2774.40752502
 2774.41319167 2775.7965211  2780.7186072  2783.40716628 2784.98362849
 2785.59929342 2791.55600993 2804.42467359 2818.84513287 2824.39868386
 2826.7436439  2829.69643556 2839.11127565 2842.21313355 2856.66009276
 2859.83835045 2860.89168081 2862.02424428 2863.20547427 2864.14673828
 2880.44659226 2882.67745262 2890.48203058 2894.71965195 2900.14180331
 2902.48523002 2902.63889626 2910.50880737 2918.80351728 2918.97035014
 2937.01546585 2950.58699419 2959.67623519 2978.61611504 2979.63811216
 2989.0912188  2995.37230106 2996.80816367 2998.02189358 3001.95688247
 3005.85000481 3009.14256218 3009.44449466 3013.30075043 3022.25555848
 3032.3528633  3035.00288915 3046.0466913  3046.15332433 3048.09201886
 3051.42830944 3054.21863489 3070.57215538 3072.19728412 3077.51286911
 3084.27695001 3084.91384821 3085.56151305 3085.98504519 3092.65332636
 3095.83435071 3099.46674045 3102.59656495 3104.73035892 3115.27539581
 3149.37629951 3149.5471657  3155.51968217 3156.17214699 3163.84232533
 3171.66653657 3172.73590022 3181.08940996 3186.43832819 3188.23928977
 3188.85402137 3195.04640388 3200.77115439 3211.56885723 3233.77672785
 3237.43851751 3243.21783452 3244.58269734 3250.62394694 3260.53701895
 3265.6071713  3268.65249603 3269.58909339 3276.27294118 3286.76304489
 3289.09073832 3290.1857019  3295.23882096 3311.76660762 3314.64876615
 3322.75920991 3322.77354321 3326.84219838 3337.24136902 3342.08868866
 3342.73052019 3356.40928156 3373.0498679  3375.50482764 3377.61672167
 3400.68822319 3401.84735325 3403.45264872 3408.01783583 3411.84132503
 3430.72523837 3432.92829882 3436.89355429 3440.35067786 3453.2365748
 3463.4125794  3465.1353412  3470.08486056 3472.14038809 3472.3845874
 3484.09895432 3486.34414798 3510.75821237 3510.90027864 3516.57339595
 3527.653998   3531.55192032 3543.50718656 3555.35211978 3589.80228917
 3605.13857919 3614.19828694 3621.84579868 3629.80027622 3673.13132053
 3704.37656563 3728.58853059 3759.51020994 3769.57621485 3775.66793098
 3780.71878339 3786.87979932 3802.37505557 3813.45619094 3821.18640245
 3825.53105685 3886.73258403 3890.69333951 3894.9702941  3915.32950327
 3968.04145442 3972.40004212 3983.23821151 3989.59822689 4002.67952328
 4002.87985605 4041.37638067 4049.08549224 4061.29532443 4065.12001363
 4076.34114861 4087.1903513  4100.04768166 4111.69421544 4126.88710587
 4128.92646678 4133.45662066 4138.95490513 4146.37225085 4165.42496372
 4167.3208917  4170.72488208 4178.8627591  4195.72597815 4205.19301809
 4211.20516778 4221.85993769 4221.88373762 4253.51844829 4253.56578149
 4256.56243969 4269.59103624 4272.33329516 4295.35929681 4299.25098582
 4309.23925761 4313.85471125 4319.3370291  4320.5411257  4347.90004844
 4353.85656495 4355.30082754 4358.97698383 4362.71267328 4383.78841377
 4406.21208378 4419.52534618 4436.39656521 4469.39510536 4479.18634438
 4493.85683629 4501.92291351 4505.43433693 4516.01624038 4544.40216022
 4552.68493683 4561.92364408 4566.42143138 4566.85676348 4573.28894532
 4573.31854523 4581.5575553  4583.16905075 4594.36825246 4595.63431555
 4605.31845487 4606.03508618 4635.31017018 4638.85209351 4650.35686103
 4664.31122162 4672.35773223 4715.96664242 4727.48884322 4748.7445832
 4761.94137927 4764.73737137 4769.24312531 4771.60085199 4791.55899563
 4812.31630368 4817.88545462 4831.31285004 4839.37802727 4843.58398206
 4847.8169701  4849.34516579 4850.05253046 4888.5538884  4893.97483976
 4906.43440458 4913.50041796 4928.31047614 4968.97589464 4984.04501875
 5008.33405017 5030.79552007 5038.03866629 5047.4431064  5058.58237494
 5066.56148574 5070.14797561 5083.58833766 5108.02760198 5109.30073172
 5112.13572372 5112.80775515 5129.36594173 5135.22349185 5140.42974382
 5150.77104795 5151.3794129  5164.26570984 5166.87440248 5172.02102128
 5191.84259864 5196.40018577 5205.74495938 5223.96827459 5237.05880429
 5245.5542803  5248.58220508 5251.18126441 5256.66258227 5283.81470559
 5293.52497817 5302.56668597 5303.25025071 5310.00873163 5310.35886397
 5322.64729594 5324.69665682 5336.69582293 5337.24642138 5345.18136564
 5354.78087186 5355.14880416 5369.31453082 5369.31773082 5377.57287417
 5396.08632189 5400.13897711 5442.63302379 5456.7699172  5491.2157866
 5507.13130832 5512.5216931  5518.19681041 5533.86413283 5543.0832068
 5546.5891969  5555.08690624 5568.42390191 5571.77519245 5578.54567333
 5586.78285007 5599.72554685 5606.2972283  5610.31125029 5615.65456854
 5617.55169652 5618.93512594 5626.38500491 5641.45382902 5643.53218982
 5654.51392547 5660.16400952 5664.25836462 5664.79109645 5666.94455704
 5680.54318531 5685.32043848 5687.80033148 5696.44527373 5732.22063938
 5740.64494892 5750.32025494 5764.5675147  5766.84434161 5786.56328592
 5800.2411473  5825.39950959 5840.26953427 5869.76405098 5887.98063287
 5889.31966243 5890.0732603  5906.10671502 5918.39411366 5934.58123462
 5962.3518562  5962.4117227  5965.24198137 5974.55058842 5995.9950612
 5999.56635111 6000.45831526 6013.1445461  6018.95489636 6028.1587037
 6035.32001682 6035.85528197 6044.58975731 6051.16900539 6055.8870254
 6067.01372732 6107.32424682 6131.41554546 6190.28271256 6194.48156737
 6224.48408265 6244.97275813 6276.99110105 6283.7973485  6323.63286934
 6349.47376304 6356.70650928 6388.46258627 6390.09544833 6445.6218582
 6452.63200507 6453.49206931 6457.2376254  6459.53068559 6467.08006427
 6480.46372648 6511.32353934 6525.42626618 6528.00732556 6552.67518923
 6571.93903484 6581.76627375 6593.48664066 6611.79652229 6632.34149761
 6646.49139098 6658.33685753 6662.91581127 6667.77563088 6669.25606003
 6669.42105957 6684.21765112 6693.58922465 6708.55741572 6715.85396178
 6752.43459182 6780.8308783  6781.59374281 6784.28060189 6788.19589083
 6795.51323684 6833.6896957  6840.94850854 6848.7285199  6866.03527103
 6883.56415487 6897.43161571 6905.21096041 6905.99102487 6908.7196505
 6909.12754935 6948.77810405 6958.36574364 6963.63582876 6974.85949707
 6982.69177495 6988.14325955 6993.14744542 7013.62078761 7016.00641421
 7033.36229853 7038.72998337 7043.46757    7080.71163149 7082.70232587
 7119.83802101 7132.30031915 7136.03014195 7136.9684393  7179.00525393
 7180.44764986 7200.34332701 7204.97171394 7209.76916706 7210.37139869
 7214.22442114 7233.08293456 7244.09577013 7255.36927162 7262.02131951
 7262.53061807 7267.5948371  7282.42839521 7290.93873785 7293.64736353
 7303.21773651 7324.28634368 7337.22724047 7343.13049047 7351.84009921
 7355.23302296 7371.05117829 7414.51372223 7430.52421035 7443.58310681
 7459.24382925 7464.29451499 7466.09210992 7466.68750823 7479.56373854
 7485.08808961 7497.39692152 7511.35894876 7516.14333525 7518.62806156
 7528.1409347  7549.40927464 7555.10632522 7574.75306974 7578.45375929
 7613.65902655 7633.11210495 7662.10902307 7678.55090997]"
5,713655_2024-08-09_A-90,AD,True,"[  20.27290218   20.28936881   20.3014021  ... 7677.19981379 7677.69357906
 7680.88007006]"
6,713655_2024-08-09_A-125,MOs,True,"[  20.46210165   21.03810002   24.4334571  ... 7665.52588009 7676.95464781
 7678.38991043]"
7,713655_2024-08-09_A-130,MOp,True,"[  20.39103518   20.40643514   20.41793511 ... 7680.93043659 7680.94013656
 7680.96586982]"
8,713655_2024-08-09_A-135,MOp,True,"[  21.67896488   24.61868991   25.4277543  ... 7680.03523911 7680.44853795
 7680.94016989]"
9,713655_2024-08-09_A-137,MOp,True,"[  30.3496404    33.27673213   46.44532828 ... 7680.61600414 7680.74637044
 7680.93503657]"
