,unit_id,structure,is_qc_pass,spike_times
0,708016_2024-04-29_A-5,ACB,True,"[  27.56291563   27.87768128   29.7640752  ... 7273.90474798 7274.7062454
 7275.13731068]"
1,708016_2024-04-29_A-7,ACB,True,"[  19.70947429   19.84440719   20.05743983 ... 7274.9116114  7275.04144432
 7275.16607725]"
2,708016_2024-04-29_A-9,CP,True,"[  20.63190465   21.18143621   21.6073015  ... 7273.88271472 7274.08354741
 7274.23731358]"
3,708016_2024-04-29_A-14,MOs,True,"[  46.43858809   46.76475371   77.29602192   88.46575257   89.46621601
   90.36507977   90.42687957   90.43077956   99.18568466  102.60044032
  105.09719893  147.35482933  186.1584042   187.53196644  187.55119971
  192.82754936  196.59570387  205.14744296  205.25700928  205.2707759
  213.46651614  222.97035216  249.02606813  249.15490105  249.17913431
  305.68995207  306.89228153  420.83468076  421.50001195  421.6193449
  421.86344411  432.21484406  432.67110926  449.97678678  453.05667685
  461.57561605  462.04908119  463.36147695  468.75052624  469.2078581
  469.25662461  469.67082327  476.58503431  478.16352922  485.08707356
  488.53249578  493.95444497  494.04844466  494.27881059  495.11187457
  500.15039165  502.79941644  504.64617715  504.65287713  506.43693805
  510.50862492  510.51659156  511.2365559   514.90064409  519.3509964
  523.28021706  524.03261464  524.67087925  527.52420338  527.93800204
  530.16696152  530.21966135  539.23736561  541.78575739  542.18035612
  543.63375143  550.67286206  552.28542353  577.56197535  581.37512972
  586.80221222  588.6595729   596.07531565  598.11530907  601.82293045
  603.44899187  604.51302178  613.90805815  613.92092477  618.5935097
  623.96312572  624.45455747  628.47157785  631.27593547  653.8210961
  654.04766204  656.07972215  656.12275535  676.06889103  676.85752182
  680.20911101  680.81360906  690.21057876  694.78003069  695.11249628
  707.43502321  711.43187699  716.31002792  717.93642268  718.10485547
  718.85321972  721.58584424  729.77461784  729.79028445  731.81247793
  731.87867772  732.63200862  734.22413682  734.77463505  734.83333486
  735.36906646  736.10826408  736.27949686  738.27829042  738.39382338
  739.37988686  745.38610083  749.30852151  751.34101496  751.56104758
  753.20517561  754.82463706  755.02513641  762.20821325  763.02474395
  763.45194257  763.7206417   763.85740793  764.70563853  774.88110571
  776.11356841  776.35683429  781.36058482  781.61978398  781.63551727
  783.07901261  788.39299547  788.53079503  790.93968726  791.91365079
  793.03364718  794.82024142  794.87874123  797.04490091  797.31010005
  797.78503185  798.16139731  798.16563063  810.49509087  810.50742416
  816.16603925  816.17207256  816.25967228  816.29017218  816.30907212
  816.31490543  816.38633854  822.24671964  849.0401999   853.87435098
  927.41914715  929.65943993  932.21809834  933.69356025  934.32622488
  934.40095797  934.41205793  939.20057582  940.28390566  942.82646413
  943.88812738  946.12278684  949.09711058  951.06690423  952.2009339
  953.27899709  963.27313153  964.11092883  966.19002212  969.78167721
  974.34616249  991.98307228  998.02241947 1004.83846416 1008.39221937
 1010.8329115  1016.3309271  1018.7904525  1025.53973074 1027.99865614
 1028.97581966 1037.40102582 1118.58226403 1129.3316627  1132.3196864
 1132.4946525  1132.52765239 1133.46894936 1154.31541547 1159.97406389
 1159.98646385 1165.04038088 1165.35377987 1169.77176562 1189.51836861
 1189.63190158 1192.18272669 1196.88181153 1254.46885916 1284.42612923
 1304.28383186 1317.24942338 1320.62664582 1341.69144456 1341.88231061
 1352.41290998 1355.94203194 1358.16765809 1374.68713816 1375.01347044
 1383.54780958 1425.57107407 1428.42876485 1429.02796292 1431.72612089
 1481.58669343 1481.65532654 1481.66535984 1614.93143009 1614.93929674
 1614.96239666 1614.97962994 1615.25466239 1615.44286178 1615.53812814
 1615.56672805 1615.74062749 2052.43861924 2072.15235567 2132.31456166
 2135.48605144 2183.45283009 2199.84597722 2214.62686289 2289.54365464
 2330.08885722 2331.71098533 2334.62360927 2337.48280005 2338.41066372
 2338.77526255 2377.93056961 2377.97370281 2396.01957795 2396.80047543
 2398.15493773 2398.4208702  2404.63281684 2404.84721615 2405.54788055
 2405.99474578 2407.4261745  2407.45504107 2407.56280739 2407.97860605
 2408.05167248 2411.18592904 2413.69208762 2414.19881932 2414.44178521
 2415.82218076 2416.23901274 2416.41504551 2416.76281106 2417.02961019
 2417.05064346 2417.19864298 2418.9933372  2419.19373655 2420.08693367
 2420.37533274 2420.69826503 2421.64462865 2421.80686146 2421.90939446
 2426.51611294 2426.60144599 2427.05014455 2428.21024081 2429.96053516
 2432.1403948  2440.22640206 2441.78079705 2441.79163034 2442.14882919
 2442.39459507 2442.5402946  2443.07202621 2443.2629256  2444.05485638
 2448.3263426  2449.22807303 2449.38733918 2452.58946219 2453.70052527
 2455.232787   2455.42171972 2455.65848563 2456.29715023 2456.31611684
 2468.33317809 2469.8495732  2470.26233853 2470.26697185 2470.55410426
 2470.78323685 2473.03712958 2474.95252341 2475.13835614 2475.4818217
 2476.76161757 2492.04366829 2497.08445204 2502.79610029 2503.28619871
 2504.1036294  2507.94161703 2526.00952543 2533.65423411 2534.19689903
 2538.2463193  2543.39600269 2544.95329767 2547.17112385 2551.31324383
 2562.60104076 2590.59201717 2594.05603933 2603.8334078  2627.71589745
 2630.35178895 2630.79352086 2633.59737848 2635.50240567 2636.78306821
 2676.54274    2680.9244592  2681.41449095 2681.53212391 2681.6266236
 2681.68205676 2682.09978874 2701.57435928 2702.13385747 2702.56188942
 2712.13285856 2715.58181411 2715.66781383 2715.73148029 2724.66195149
 2733.63925587 2733.65085584 2737.70450943 2737.76924256 2737.85034229
 2738.08067489 2738.80653921 2746.76698021 2789.33934292 2848.33865266
 2888.49588983 2895.22776813 2897.33216134 3009.96263147 3010.32923029
 3020.38346453 3021.65836042 3064.48295565 3072.09229778 3077.77517946
 3141.13500847 3172.45344081 3196.0031982  3214.06203996 3219.48475581
 3233.82174291 3234.26724147 3279.59239531 3305.45224525 3389.96470606
 3394.3641252  3406.08888739 3478.36155433 3497.40809291 3515.11166915
 3515.32463513 3518.33622542 3530.58968591 3539.46445729 3542.9228128
 3544.34234156 3544.35327486 3548.95662668 3569.35806089 3578.01153298
 3580.14022612 3590.101094   3613.63181812 3619.76109835 3627.07217478
 3635.51001423 3661.69719645 3666.20768191 3672.36242873 3673.85429058
 3674.47005526 3674.69842119 3683.16849388 3693.74199312 3737.56958512
 3760.52247777 3796.70859441 3808.07105777 3808.09422436 3830.07952013
 3856.65596776 3867.42926635 3900.11186096 3905.13204477 3905.19334457
 3905.92430888 3925.23237995 3925.2901131  3928.90510144 3928.95850127
 3929.08673419 3929.09493416 3929.34530002 3929.453633   3977.82744368
 3983.80972439 3990.63993569 4000.11743847 4010.87840376 4010.90930366
 4049.78704496 4071.32880883 4082.85663832 4091.07414515 4104.3316024
 4124.46517081 4139.29665631 4159.3022918  4171.97271761 4187.5852006
 4195.42330865 4218.93046618 4233.65968535 4260.35329927 4306.65011664
 4311.90693302 4345.44489154 4397.501257   4398.21608803 4410.67911451
 4424.67703603 4464.50980758 4603.35349318 4620.27717194 4620.71930385
 4621.04873612 4621.15360245 4720.08818341 4733.5168401  4744.66230416
 4744.67887077 4744.78850375 4745.12030268 4745.81256712 4745.88696688
 4745.90563348 4745.91200013 4745.95096667 4746.17276596 4746.18036593
 4746.93799682 4749.93998714 4751.27578283 4753.0030106  4753.33140954
 4754.8101381  4756.82333161 4757.68572883 4757.86936157 4757.88706151
 4758.22026044 4759.05155776 4759.82702192 4760.3502869  4760.35715355
 4760.50138642 4760.70901908 4761.34545036 4761.34998368 4761.47448328
 4761.80494888 4762.11138122 4766.91569907 4766.92203238 4767.69759654
 4767.73832975 4767.92966246 4768.3314945  4774.68527401 4780.33128914
 4795.51534017 4795.58557328 4796.22233789 4807.86810034 4814.34787944
 4814.99187737 4815.9617409  4828.86879928 4828.87669926 4828.88983255
 4828.89683253 4829.07296529 4873.04022351 4873.09145668 4873.09765666
 4874.64935165 4874.92025078 4875.0491837  4875.26238301 4875.54414877
 4939.73317511 4960.85474033 4960.88064024 4970.97630769 5038.7200559
 5038.91045528 5039.00902163 5039.17468776 5098.86459528 5098.88659521
 5098.89546185 5101.53112001 5101.90361881 5102.02131843 5102.11921812
 5107.58836715 5107.73866666 5107.80216646 5108.02446574 5169.53620071
 5172.88672324 5183.71978831 5184.76895159 5206.08351619 5360.99871663
 5430.64055872 5496.72171229 5533.5387269  5539.93910626 5540.11647235
 5541.5385011  5592.03120494 5601.213342   5611.85087436 5612.00344054
 5613.66710184 5614.08903381 5614.09633379 5614.23853333 5614.75976498
 5631.49944433 5631.6428772  5634.2688354  5643.36650606 5677.07236404
 5677.1041306  5677.13203051 5677.15839709 5701.11981982 5723.76218014
 5725.16824227 5726.02227285 5730.83102401 5759.81213056 5763.47301875
 5763.49898533 5763.67701809 5768.33296974 5774.8889486  5775.05988139
 5799.96973439 5801.48406284 5802.35439337 5802.44909306 5812.57469374
 5812.58179372 5813.04525889 5813.06172551 5813.06749215 5813.3421246
 5813.7036901  5813.77952319 5813.78788983 5814.85768638 5814.92241951
 5814.94775276 5814.98788596 5815.05195242 5815.13871881 5815.24068515
 5815.34155149 5815.39918463 5815.40475128 5816.06614915 5826.49811551
 5827.42684585 5827.49034564 5827.60421194 5827.6682784  5827.67251172
 5827.68707834 5827.70477829 5827.81291127 5827.89224435 5828.78174148
 5934.7073999  5986.79973191 6010.14838995 6021.84881889 6021.97241849
 6022.03525162 6022.06168487 6022.69391616 6025.10360839 6025.26127455
 6025.34530761 6025.41097407 6025.49794045 6025.85083931 6026.09517186
 6026.25517134 6027.11100192 6039.29772928 6112.15176101 6112.25229402
 6122.81522663 6127.75704403 6128.6859077  6129.58803812 6149.50324057
 6149.65050676 6151.60803378 6151.9433327  6152.04163238 6155.16225565
 6188.20594909 6188.49611482 6188.91728013 6205.10746126 6208.9713488
 6209.0729818  6259.80435154 6260.44841613 6260.61784892 6292.32764666
 6292.50924607 6292.85481163 6293.24844369 6293.44957637 6293.46167634
 6294.17274071 6294.28727367 6294.30924027 6294.33844018 6294.37547339
 6295.30740372 6296.01480144 6296.42330012 6296.43236676 6296.48683325
 6296.64696606 6300.99301872 6301.63041666 6301.64088329 6302.89147926
 6303.06831202 6303.08774529 6304.31290801 6304.3675745  6308.43312806
 6310.14125588 6381.60315877 6381.96632426 6382.16482362 6383.36548642
 6383.70428533 6383.74175187 6383.75888515 6383.76735179 6384.54721594
 6395.03308213 6463.23969551 6463.50549465 6465.34052207 6465.47018832
 6469.97224047 6473.44229594 6476.1961204  6476.53291931 6476.55441924
 6479.9684749  6482.99973179 6483.65659634 6487.6595501  6488.39761438
 6488.78054648 6490.44454112 6490.62827386 6490.87063974 6490.89073968
 6490.99003936 6494.32262861 6496.42628849 6500.22387625 6500.44847552
 6500.62794161 6500.76367451 6501.57857188 6501.59983848 6501.6545383
 6501.75730463 6501.77040459 6502.83623449 6502.84833445 6513.39980042
 6514.11263146 6523.75843369 6556.90212681 6557.50842485 6558.11145624
 6558.37648872 6558.61172129 6558.62185459 6558.68512106 6558.95455352
 6558.98175343 6558.98742008 6559.05431987 6559.10955302 6559.4373853
 6559.86898391 6559.95875028 6560.01331677 6561.33437918 6567.97029111
 6599.30062341 6607.87902908 6630.31655673 6630.32905669 6630.48708951
 6630.55585596 6630.79132187 6630.84762168 6632.23848387 6632.3323169
 6632.38505006 6632.39611669 6632.52114962 6632.80954869 6667.67463626
 6675.17074542 6707.85917334 6710.86126366 6717.57017536 6718.15510681
 6718.16670677 6720.57936565 6731.0476319  6733.15122511 6738.68557393
 6739.84720352 6739.87610343 6739.88163674 6742.22666251 6743.86005725
 6745.26748604 6746.12441661 6749.09180704 6749.78817146 6750.86663465
 6754.50065627 6756.87718194 6757.71297924 6762.09359845 6765.34738796
 6810.37110943 6840.31687953 6842.548539   6842.57420558 6842.67897191
 6852.84303914 6855.48703061 6857.95148933 6860.42708135 6864.84323377
 6864.85476707 6877.91472495 6912.14471457 6912.16078119 6912.17224782
 6923.01991283 6925.97726996 6929.63505817 6929.70045796 6934.53464237
 6934.59874216 6935.44403944 6935.45807272 6935.47917266 6935.59780561
 6935.64487212 6935.64867211 6935.67720535 6935.68333866 6935.74623846
 6935.75277177 6954.74544386 6955.94910665 6958.87023056 6961.37375582
 6961.48702212 6961.50072208 6961.87322088 6962.54058539 6965.30904313
 6965.32710974 6965.45520932 6971.65685599 6975.15231139 6976.24894118
 6979.72339665 7002.57722295 7002.74022242 7006.88067574 7010.1688318
 7011.32256141 7012.93222289 7050.627568   7052.47536204 7053.05726016
 7068.55831018 7068.70707636 7071.08360203 7076.54681775 7077.43018157
 7080.28820568 7081.30070242 7082.85396408 7082.9695637  7083.41249561
 7084.07479347 7084.18175979 7084.27115951 7085.49515556 7086.21218658
 7086.86145115 7086.87878443 7091.89206826 7091.91733485 7092.13406748
 7092.63746586 7092.97289811 7093.13529759 7093.67236252 7093.80662876
 7093.98939483 7094.25149399 7094.29849384 7094.33079373 7094.36949361
 7094.37459359 7094.3819269  7094.44152671 7094.44756002 7095.55162313
 7097.54131671 7098.6215799  7102.82066635 7105.25835849 7105.37479145
 7105.68252379 7106.49668783 7106.52235442 7106.74342037 7107.0250528
 7107.89404999 7107.94968315 7108.02674957 7108.54618122 7109.48351154
 7109.74947734 7110.12347614 7110.12934279 7111.23777255 7111.39223871
 7111.58627142 7111.65930452 7112.04956993 7112.35540227 7112.36013559
 7116.30952286 7116.32515614 7116.80628792 7118.77728157 7129.97567879
 7130.12214498 7130.25851121 7130.69734313 7134.37993125 7135.96215948
 7164.04920224 7165.13273208 7168.71935385 7170.07654947 7171.1209461
 7174.74763441 7176.98189387 7179.19472007 7184.88230173 7187.3405938
 7189.74381938 7193.20597488 7196.67663036 7200.21181896 7207.28436282
 7213.36377655 7214.39127323 7215.78173542 7216.77619888 7221.42978387
 7223.98924228 7224.16477505 7227.25069843 7232.90711353 7237.55996519
 7242.36391636 7244.79980851 7245.90087162 7248.93339518 7249.37016044
 7252.93884893 7256.74866998 7257.90046626 7259.25789522 7261.4871547
 7262.23181896 7263.63214778 7264.42197856 7264.76571079 7268.68863147
 7272.2571533  7272.28385321 7272.38335289 7272.39298619 7272.41895278
 7273.18958362 7273.34971644 7273.36398306 7273.3743497  7273.37971634
 7273.52471588 7273.59558232]"
4,708016_2024-04-29_A-15,CP,True,"[  33.61956276   33.65126266   36.11232139 ... 7220.57378663 7225.97473588
 7226.0718689 ]"
5,708016_2024-04-29_A-17,CP,True,"[  23.96556056   24.00689376   28.26321337 ... 7273.20355025 7273.76151511
 7273.76578177]"
6,708016_2024-04-29_A-19,CP,True,"[  19.55887477   19.73904086   20.0474732  ... 7274.44361291 7274.53411262
 7274.56124587]"
7,708016_2024-04-29_A-20,CP,True,"[  19.39430864   20.21800598   20.21983931 ... 7275.13431069 7275.1502773
 7275.16007727]"
8,708016_2024-04-29_A-22,CP,True,"[  19.385442     19.43250851   19.43960849 ... 7248.68819597 7264.53007822
 7266.25557265]"
9,708016_2024-04-29_A-23,CP,True,"[  20.17740611   20.37363881   20.38830543 ... 7274.62944565 7274.87051154
 7274.97294454]"
