,unit_id,structure,is_qc_pass,spike_times
0,714748_2024-06-24_A-0,PIR,True,"[  26.15644764   28.71163925   28.76187241 ... 7612.25755934 7612.53789175
 7615.89348072]"
1,714748_2024-06-24_A-2,PIR,True,"[  29.17627105   29.49603667   34.20232121 ... 7608.64130455 7612.8970239
 7618.36600593]"
2,714748_2024-06-24_A-6,AIp,True,"[  21.20006392   21.26406371   23.67708912 ... 7617.50347543 7619.30786951
 7619.70713486]"
3,714748_2024-06-24_A-7,AIp,True,"[  20.23656709   20.26293367   20.33493343 ... 7616.71061137 7617.70587477
 7618.91990411]"
4,714748_2024-06-24_A-8,AIp,True,"[  20.76613202   20.8621317    20.89956491 ... 7618.25023965 7618.34577267
 7618.43083905]"
5,714748_2024-06-24_A-9,AIp,True,"[  21.17866399   21.52479619   22.17659405 ... 7620.14370009 7620.14973341
 7620.25459973]"
6,714748_2024-06-24_A-11,AIp,True,"[  20.20973384   20.38269994   20.5879326  ... 7620.46009906 7620.59709861
 7620.72693151]"
7,714748_2024-06-24_A-12,AIp,True,"[  21.73172884   21.76032875   21.79319531 ... 7618.45903896 7618.63110506
 7618.70070483]"
8,714748_2024-06-24_A-14,AIp,True,"[  24.26545385   24.42212001   43.80992298 ... 7618.89457086 7618.96247064
 7619.33406942]"
9,714748_2024-06-24_A-16,AIp,True,"[  21.93862816   22.60649264   24.22395399 ... 7619.08943689 7619.16906996
 7619.29620288]"
10,714748_2024-06-24_A-18,AIp,True,"[  22.1292942    22.15819411   22.38012671 ... 7620.24876642 7620.27106634
 7620.3647327 ]"
11,714748_2024-06-24_A-19,AIp,True,"[  20.51683283   20.53336611   20.7405321  ... 7620.18759995 7620.30419957
 7620.61793187]"
12,714748_2024-06-24_A-21,AIp,True,"[  41.23469811   63.62812454   64.88328708 ... 7616.8048444  7619.7757013
 7620.53726547]"
13,714748_2024-06-24_A-22,AIp,True,"[  25.47038323   26.04211468   27.43407678 ... 7618.05674028 7618.43470571
 7619.36620265]"
14,714748_2024-06-24_A-23,AIp,True,"[  20.28046694   20.29393357   20.38726659 ... 7620.60176526 7620.69249829
 7620.71936487]"
15,714748_2024-06-24_A-24,AIp,True,"[  31.15419789   31.19536442   31.21986434 ... 7617.99627382 7618.08594019
 7618.18730652]"
16,714748_2024-06-24_A-27,AIp,True,"[  20.50703287   20.72179883   21.77536203 ... 7619.28876957 7620.21703319
 7620.55043209]"
17,714748_2024-06-24_A-31,AIp,True,"[  20.95526473   21.03566446   22.10742761 ... 7617.56234191 7617.78990783
 7617.90860744]"
18,714748_2024-06-24_A-33,AIp,True,"[  22.53739286   22.97642475   27.01354483 ... 7583.80861946 7584.00778547
 7603.74902062]"
19,714748_2024-06-24_A-36,AIp,True,"[  20.24676706   20.30806685   20.34366674 ... 7620.67409835 7620.74233146
 7620.76403139]"
20,714748_2024-06-24_A-39,VISC,True,"[  20.19673389   20.36100001   20.53599944 ... 7599.0770693  7611.64239469
 7619.19846987]"
21,714748_2024-06-24_A-40,VISC,True,"[  20.31606683   20.63646577   21.74189548 ... 7569.43406668 7581.04146189
 7596.09944575]"
22,714748_2024-06-24_A-43,VISC,True,"[  25.06225124   25.14375097   26.8370454  ... 7620.56296538 7620.5677987
 7620.71653155]"
23,714748_2024-06-24_A-45,VISC,True,"[  20.58669927   20.82419849   21.07539767 ... 7619.1066035  7619.24770304
 7620.17843331]"
24,714748_2024-06-24_A-50,VISC,True,"[  20.37499997   20.63009913   20.89546492 ... 7620.28899962 7620.4867323
 7620.73806481]"
25,714748_2024-06-24_A-53,VISC,True,"[  25.97708156   27.96844169   31.17529782 ... 7620.05753371 7620.25606639
 7620.36186604]"
26,714748_2024-06-24_A-58,VISC,True,"[  20.18256727   20.85723172   21.00463123 ... 7619.42470246 7619.53326877
 7619.80383454]"
27,714748_2024-06-24_A-60,VISC,True,"[  27.366677     40.36016765   73.47985884 ... 7619.84926773 7620.38123265
 7620.76776471]"
28,714748_2024-06-24_A-66,VISC,True,"[  20.45933302   20.85323173   20.88196497 ... 7620.74736478 7620.76779804
 7620.78883131]"
29,714748_2024-06-24_A-70,VISC,True,"[  26.07928123   26.16241429   26.37478026 ... 7613.57982166 7620.63359849
 7620.64423178]"
30,714748_2024-06-24_A-73,VISC,True,"[  20.56389935   20.62263249   20.72606548 ... 7620.1230335  7620.50386558
 7620.79816461]"
31,714748_2024-06-24_A-78,VISC,True,"[  25.9037818    32.71142611   37.21181132 ... 7617.78370785 7618.7017715
 7620.19063327]"
32,714748_2024-06-24_A-82,SSs,True,"[  23.37592344   25.30308378   25.86428193 ... 7619.74286808 7619.87986763
 7620.69919827]"
33,714748_2024-06-24_A-85,SSs,True,"[  25.91821509   32.3187274    32.32419405 ... 7615.66338148 7615.84191423
 7615.87051413]"
34,714748_2024-06-24_A-88,SSs,True,"[  20.36929999   27.71717585   33.56122331 ... 7614.45848544 7616.96224388
 7617.42547569]"
35,714748_2024-06-24_A-89,SSs,True,"[  20.93096481   30.39616705   35.08155165 ... 7615.3131493  7617.39904244
 7617.77270788]"
36,714748_2024-06-24_A-91,SSs,True,"[  20.27650029   20.28583359   20.29280024 ... 7620.76089807 7620.781798
 7620.79906461]"
37,714748_2024-06-24_A-92,SSs,True,"[  21.02069785   21.23059716   21.28089699 ... 7619.92176749 7620.23109981
 7620.37709933]"
38,714748_2024-06-24_A-95,SSs,True,"[  25.8935485    25.97628157   28.04294144 ... 7619.35833601 7619.37920261
 7619.58656859]"
39,714748_2024-06-24_A-102,SSs,True,"[  20.1938339    20.20760052   20.22883378 ... 7620.67009837 7620.68663164
 7620.780598  ]"
40,714748_2024-06-24_A-105,SSs,True,"[  20.71319886   20.77606532   20.80179857 ... 7620.74236479 7620.74993144
 7620.77443136]"
41,714748_2024-06-24_A-107,SSs,True,"[  20.38319994   20.73549878   21.38549665 ... 7619.94770074 7620.26569969
 7620.50503224]"
42,714748_2024-06-24_A-108,SSs,True,"[  27.8339088    61.70419753   65.6601512  ... 7619.55323537 7620.03623378
 7620.56866537]"
43,714748_2024-06-24_A-109,SSs,True,"[  43.06895875   85.4556195    96.95808171 ... 7619.49476889 7619.68370161
 7619.86763433]"
44,714748_2024-06-24_A-110,SSs,True,"[  20.19280057   20.19516722   20.19750055 ... 7619.85076772 7619.8875676
 7620.47643233]"
45,714748_2024-06-24_A-112,SSs,True,"[  20.26423366   20.7810653    20.94796475 ... 7620.31443287 7620.40286591
 7620.48579897]"
46,714748_2024-06-24_A-114,SSs,True,"[  20.73853211   21.06783102   21.29733027 ... 7603.81538707 7610.93529701
 7619.30483618]"
47,714748_2024-06-24_A-115,SSs,True,"[  20.19270057   20.37233331   20.37883329 ... 7620.41199921 7620.56196539
 7620.70859824]"
48,714748_2024-06-24_A-116,SSs,True,"[  20.19430056   20.20533386   20.21936715 ... 7620.78183133 7620.78656465
 7620.7909313 ]"
49,714748_2024-06-24_A-117,SSs,True,"[  26.65391267   27.90200857   35.89184899 ... 7619.16406998 7619.56473533
 7620.4879323 ]"
50,714748_2024-06-24_A-120,SSs,True,"[  26.14701434   26.22951407   26.50654649 ... 7619.57420197 7619.62746846
 7619.82146782]"
51,714748_2024-06-24_A-122,SSs,True,"[  20.18583392   20.20343386   20.25516703 ... 7620.69526495 7620.69669828
 7620.78166467]"
52,714748_2024-06-24_A-123,SSs,True,"[  20.19743388   20.20990051   20.23433376 ... 7620.72686485 7620.78463132
 7620.78836464]"
53,714748_2024-06-24_A-130,SSs,True,"[  20.7816653    28.16340771   28.6133729  ... 7617.54697529 7618.0227404
 7619.7874346 ]"
54,714748_2024-06-24_A-131,SSs,True,"[  20.41599983   20.568566     20.88616495 ... 7620.55609874 7620.60206526
 7620.68763164]"
55,714748_2024-06-24_A-132,SSs,True,"[  20.91983151   20.95129807   20.96899802 ... 7620.25713306 7620.29596626
 7620.66243172]"
56,714748_2024-06-24_A-134,SSs,True,"[  28.1991076    30.43500025   44.31998797 ... 7619.75140138 7620.28106631
 7620.55576541]"
57,714748_2024-06-24_A-139,SSs,True,"[  23.22115728   26.65054602   26.80727884 ... 7615.91214733 7616.53621195
 7617.59340847]"
58,714748_2024-06-24_A-142,SSs,True,"[  20.73173213   20.78426529   20.93439813 ... 7618.9642373  7619.35846934
 7620.69176496]"
59,714748_2024-06-24_A-144,SSs,True,"[  21.21146389   21.37083003   21.88822833 ... 7616.86911085 7618.44930566
 7618.60633848]"
60,714748_2024-06-24_A-146,SSs,True,"[  48.12187548   60.19803581  120.52957094 ... 7613.99128697 7614.63178487
 7614.72161791]"
