,unit_id,structure,is_qc_pass,spike_times
0,664851_2023-11-16_A-5,ACAv,True,"[  20.90956809   21.56529972   21.5747997  ... 6691.76118988 6691.79452313
 6691.79888979]"
1,664851_2023-11-16_A-7,ACAv,True,"[  20.54360237   20.58680226   20.73610187 ... 6691.3930575  6691.49515724
 6691.79578979]"
2,664851_2023-11-16_A-8,ACAv,True,"[  20.13070344   20.23813649   20.34423622 ... 6687.26403486 6687.67646713
 6689.98742781]"
3,664851_2023-11-16_A-12,ACAv,True,"[  20.1080035    20.15223672   20.25726978 ... 6689.73299514 6691.26575783
 6691.28092446]"
4,664851_2023-11-16_A-13,ACAv,True,"[  20.10613684   20.15600337   21.65449949 ... 6691.27502448 6691.33002433
 6691.38412419]"
5,664851_2023-11-16_A-14,ACAv,True,"[  20.57790228   20.61416885   20.9043681  ... 6690.73492587 6691.01715848
 6691.21622463]"
6,664851_2023-11-16_A-16,ACAv,True,"[  25.34032328   35.39469724   39.41488683 ... 6683.92574351 6683.97491005
 6685.12140708]"
7,664851_2023-11-16_A-23,ACAv,True,"[  20.13953675   20.23520317   20.61970217 ... 6687.49300094 6689.60119548
 6689.64782869]"
8,664851_2023-11-16_A-25,ACAv,True,"[  20.56360232   20.73016855   21.00860117 ... 6690.60572621 6690.92425872
 6691.71422334]"
9,664851_2023-11-16_A-26,ACAv,True,"[  20.28603637   20.58586893   21.10390092 ... 6689.14599666 6689.94296126
 6691.41379078]"
10,664851_2023-11-16_A-27,ACAv,True,"[  20.18616996   21.63809954   21.78559915 ... 6691.68529008 6691.70139004
 6691.79752312]"
11,664851_2023-11-16_A-28,ACAv,True,"[  20.22986985   20.51023579   20.54820236 ... 6691.56985705 6691.74588992
 6691.7931898 ]"
12,664851_2023-11-16_A-30,ACAv,True,"[  27.78661694   31.60407372   41.17444893   47.59526564   56.40680948
   68.56537799  102.77585605  105.55098219  112.88212987  114.26015963
  138.40869709  144.29091519  182.6503825   210.03157824  222.73677867
  230.2671925   233.80685     264.16607136  269.26785815  272.46514987
  278.16150178  281.13362741  302.84497118  304.40983379  305.74963032
  315.65367134  317.59449964  345.99909274  351.26384577  364.72757756
  374.91865117  376.23681442  384.67235924  387.57561839  399.59675392
  407.80789932  419.10767005  420.55273297  444.53540419  455.20894321
  458.62403436  464.95631796  476.96725352  480.75037705  481.05387627
  483.07913769  497.77816628  504.33241597  520.80117332  520.82330659
  521.40663842  521.75153752  535.38513554  535.76626789  538.22762818
  539.05035938  547.64163713  549.3517327   552.38099152  557.92151051
  571.95734082  573.15680438  577.15376069  578.46472396  587.6139336
  595.74164588  596.42604411  612.86323487  626.84163199  628.78052697
  635.95687505  637.60463745  637.70980385  667.2101941   674.07030967
  675.11390696  681.7164232   683.14058617  713.40024113  726.02124178
  739.76263952  763.04787921  773.57668527  776.75327704  782.47709555
  786.31121895  788.46238005  790.65757436  791.17870634  798.00665533
  800.22408292  823.59258906  826.445615    830.42193803  844.41800178
  854.23387636  855.10644076  878.09354789  891.70301264  899.85525819
  905.67997644  917.46034593  918.76224256  921.1133698   924.60022744
  943.02091306  948.74876489  953.1598868   953.26915318  955.66228031
  956.87684384  957.4311424   966.27435283  974.43069837  974.63156452
  984.08887335  986.1676013   995.59871021  996.66010746 1001.21379566
 1009.52064082 1011.49330237 1014.75776058 1025.02176733 1027.90919319
 1032.50671461 1044.31121737 1049.09420498 1080.81905615 1084.33994703
 1101.10153695 1139.08223857 1145.52465522 1145.91232088 1162.59907766
 1187.83504563 1194.38129534 1199.07241652 1217.92556769 1236.58651936
 1241.65173957 1243.29113533 1246.39486062 1249.28745313 1257.06163299
 1263.47481638 1271.24672958 1282.69609993 1292.86370693 1314.45138435
 1317.9444753  1319.04830577 1336.84359302 1337.94782349 1347.49246543
 1351.16392259 1377.51212101 1385.97046577 1387.56032832 1394.09487806
 1407.82100918 1410.68250176 1414.42452541 1421.99533913 1422.44023798
 1423.81266776 1480.94331978 1496.78747874 1497.09781127 1505.72982225
 1529.42276088 1561.06031227 1563.28927316 1567.56999541 1571.03831976
 1618.66119641 1623.21941794 1637.23268164 1645.70982635 1691.54317431
 1707.88353198 1717.02714163 1718.39517142 1725.98305177 1729.94790817
 1744.10390483 1769.41467261 1775.439757   1793.04664473 1795.45033851
 1806.2373439  1809.45033558 1811.82886275 1820.33697405 1822.86240084
 1836.52966544 1844.41874501 1846.27150688 1847.13600464 1854.76798487
 1867.9980506  1881.99098103 1884.74310723 1897.7521402  1907.48741499
 1910.88690618 1918.28515369 1947.47257809 1952.96873052 1957.05381994
 1962.99860454 1965.73983077 1971.48738255 1971.5467824  1971.68261538
 1982.6772869  2004.81942955 2020.68845512 2052.33547315 2059.81552044
 2072.2397216  2079.34720319 2081.11356528 2081.14363187 2081.53666418
 2092.50036912 2095.07866244 2101.98361122 2102.42211009 2108.72942708
 2118.6953346  2119.17610003 2143.11510469 2162.27985505 2178.35761341
 2190.35658233 2203.84541406 2227.45641957 2228.72461628 2241.83351566
 2246.09460463 2247.27670156 2294.5855457  2302.48542523 2315.94132372
 2320.4888786  2324.85566729 2326.2186971  2328.87645688 2333.73407763
 2341.99935622 2342.79452083 2370.84931483 2396.10081609 2398.15441078
 2405.13059271 2416.52522986 2432.97975391 2434.01491789 2439.07713811
 2466.68653327 2480.51316412 2483.60192279 2522.99088744 2536.92611801
 2543.56663414 2560.09292467 2562.43768526 2563.74384855 2573.29402381
 2576.89024783 2577.88427859 2592.59500715 2606.27630505 2608.56199913
 2612.5267222  2618.46450682 2631.9979051  2635.01389728 2653.68924891
 2666.57101555 2700.05886214 2704.68195017 2707.39114315 2717.6290833
 2731.31688118 2768.17445238 2779.05479087 2792.40945628 2814.62619874
 2817.13749223 2818.09172309 2852.32666775 2854.93982765 2870.62288703
 2873.60481264 2877.35610293 2888.16440826 2917.41103251 2932.07462787
 2959.2563908  2998.73702187 3097.58603251 3124.45312959 3163.39736205
 3234.83834368 3365.49800525 3419.73316478 3480.22354144 3544.91667387
 3571.51143832 3584.5579712  3589.1764259  3609.0350078  3666.28992617
 3683.01481619 3715.09166644 3737.93804059 3762.83790944 3768.44176159
 3771.35032072 3789.17980787 3789.54324027 3811.67564961 3813.90711049
 3814.85994136 3814.94444114 3815.31357352 3815.39820663 3824.23521708
 3851.49764646 3875.76705027 3883.08836464 3895.2639331  3907.8766671
 3913.21241995 3949.1230936  3967.3613797  3977.38922039 3983.35280494
 3997.64446793 4027.6790568  4043.17531667 4072.41940759 4088.97336471
 4131.13272218 4175.98737267 4183.97455198 4184.9440828  4208.40258871
 4211.03844855 4310.61569063 4312.95048459 4325.33195252 4353.48131294
 4415.32251943 4424.77899494 4445.38257491 4529.94785587 4590.42289924
 4600.40194006 4600.4120067  4604.19639689 4605.01309478 4613.12437377
 4614.11683787 4657.65575843 4688.97217732 4727.73081026 4728.64997455
 4740.79167643 4753.4808769  4792.8479416  4797.47569628 4803.43228085
 4804.6239111  4844.45900792 4875.10482855 4904.50461906 4914.63555949
 4971.70274501 4988.49643485 5001.49883451 5011.22264265 5016.14926323
 5067.07489799 5094.08789469 5118.78833071 5121.46392378 5127.0301427
 5146.03226015 5167.11027222 5191.57280886 5192.94893863 5218.24617311
 5241.29511341 5272.33103302 5273.52969658 5283.58577054 5283.9627029
 5293.8962105  5298.21236599 5299.91526158 5309.74386945 5334.25827262
 5338.02486287 5341.34765426 5365.2968589  5377.99052602 5392.61398814
 5400.66333396 5418.59188752 5433.77918152 5467.28549474 5469.92298791
 5471.99278254 5474.18731019 5476.40237112 5500.89654101 5503.41326783
 5518.20426285 5525.71151007 5562.75981411 5578.35794038 5595.04406383
 5629.57567439 5632.04590132 5647.86299369 5672.96312868 5709.27516796
 5726.58232313 5730.75941231 5746.0928726  5752.32988978 5778.94842083
 5783.59640879 5790.51495754 5810.00747372 5865.40846356 5954.73773218
 5954.90449842 5972.14625376 5977.95553871 6010.48385446 6011.07045294
 6022.34745707 6039.18788012 6039.67591219 6041.23894147 6045.69949658
 6052.17207982 6056.3238024  6070.4678991  6079.82627486 6097.10006345
 6114.60428478 6117.3368777  6123.36302876 6138.93588843 6142.53621243
 6151.98735462 6152.40158688 6152.43782012 6154.83864724 6173.69539839
 6174.02603087 6185.97523325 6205.02035059 6212.49086458 6234.48264095
 6244.33631543 6270.28538155 6272.77160844 6282.70298272 6283.72278008
 6287.8344361  6288.26460165 6300.35617033 6307.82635098 6328.05349859
 6330.37422591 6359.50521713 6365.2688022  6369.93292345 6389.37210644
 6406.69202824 6418.16449853 6451.33587928 6468.13673576 6472.07805889
 6483.01853055 6499.13052215 6500.56108511 6506.16343727 6507.80976634
 6508.36219824 6508.54916442 6514.53148226 6537.97252154 6546.3547665
 6563.37162243 6581.28610936 6594.20754256 6599.49182887 6613.36589293
 6618.6444126  6618.82907878 6622.62936894 6630.587315   6640.86602171
 6644.61741199 6648.05186976 6655.99188253 6664.53349374 6672.91893869
 6676.87822843 6682.1542481  6682.16394807]"
13,664851_2023-11-16_A-31,ACAd,True,"[  20.35510286   20.94403467   21.49166658 ... 6691.42742408 6691.48089061
 6691.6658568 ]"
14,664851_2023-11-16_A-35,ACAd,True,"[  20.49146917   22.82826312   24.62685846 ... 6690.25606045 6690.25902711
 6690.26169377]"
15,664851_2023-11-16_A-39,ACAd,True,"[  21.53736646   21.62479957   21.94673207 ... 6691.67395678 6691.69815671
 6691.7299233 ]"
16,664851_2023-11-16_A-40,ACAd,True,"[  20.95703463   22.39263091   24.44425893 ... 6690.4026934  6690.80919235
 6691.15865811]"
17,664851_2023-11-16_A-43,ACAd,True,"[  20.11090349   20.13190344   20.16833668 ... 6669.97481298 6682.46438063
 6686.71400296]"
18,664851_2023-11-16_A-44,ACAd,True,"[  39.51735323   42.5786453    67.35351446 ... 6670.45324507 6687.42626778
 6689.87102811]"
19,664851_2023-11-16_A-48,ACAd,True,"[  24.29999264   24.30379263   24.30642596 ... 6673.28267108 6674.53853449
 6680.89315137]"
20,664851_2023-11-16_A-56,ACAd,True,"[  21.11456756   21.21950062   21.31170038 ... 6690.89839212 6691.38675752
 6691.61759025]"
