,unit_id,structure,is_qc_pass,spike_times
0,662892_2023-08-24_A-3,root,True,"[  20.25039056   30.0155678    31.3479647  ... 7185.69592627 7186.2818249
 7186.31392483]"
1,662892_2023-08-24_A-4,root,True,"[  20.31972373   21.03865539   27.41977385 ... 7185.68249297 7186.34412476
 7186.3711247 ]"
2,662892_2023-08-24_A-5,root,True,"[  22.87958443   35.71975451   50.63545309 ... 7180.02453949 7180.80247101
 7182.18586778]"
3,662892_2023-08-24_A-6,root,True,"[  21.25012156   21.95968658   22.07861963 ... 7183.41466492 7183.89746379
 7184.18146313]"
4,662892_2023-08-24_A-8,root,True,"[  20.48269002   23.94148196   23.97274855 ... 7174.6107521  7177.59714514
 7184.78702839]"
5,662892_2023-08-24_A-10,root,True,"[  20.69638952   24.77914667   25.01337946 ... 7180.00317287 7182.55903358
 7184.80826167]"
6,662892_2023-08-24_A-14,root,True,"[  20.65492295   21.04078872   21.07978863 ... 7186.27299159 7186.31235817
 7186.38422467]"
7,662892_2023-08-24_A-20,lot,True,"[  20.62625635   21.01055545   21.04322204 ... 7185.54875995 7185.56079325
 7185.5692599 ]"
8,662892_2023-08-24_A-21,lot,True,"[  21.92795332   24.14964814   24.56321384 ... 7179.72340685 7181.49463606
 7184.64882871]"
9,662892_2023-08-24_A-27,lot,True,"[  20.22849061   21.01425545   21.0206221  ... 7186.13869191 7186.15685853
 7186.18855846]"
10,662892_2023-08-24_A-30,lot,True,"[  20.98632218   21.03978872   21.35692131 ... 7185.92505907 7185.96275898
 7186.29115822]"
11,662892_2023-08-24_A-34,lot,True,"[  20.42689015   21.29808812   21.38562125 ... 7186.1543252  7186.16792517
 7186.2849249 ]"
