,unit_id,structure,is_qc_pass,spike_times
0,667252_2023-09-28_A-2,MOs,True,"[  25.96903748   30.92512538   38.65943982 ... 7343.94392731 7344.32439304
 7344.38965955]"
1,667252_2023-09-28_A-4,MOs,True,"[  20.81771674   20.92388314   21.35604875 ... 7343.0064296  7344.32822637
 7344.36685961]"
2,667252_2023-09-28_A-5,MOs,True,"[  20.41478439   20.58418397   20.69505037 ... 7343.92769401 7344.02736044
 7344.1801934 ]"
3,667252_2023-09-28_A-9,MOs,True,"[  19.88711901   19.98678543   20.08295186 ... 7344.37849291 7344.45539272
 7344.62159232]"
4,667252_2023-09-28_A-10,MOs,True,"[  19.82931915   19.88411902   19.92855224 ... 7344.50242594 7344.57969242
 7344.64972558]"
5,667252_2023-09-28_A-12,MOs,True,"[  19.89238566   19.91411894   19.9333189  ... 7344.51005926 7344.53542586
 7344.62192565]"
6,667252_2023-09-28_A-13,MOs,True,"[  19.84031912   19.84878577   19.87505237 ... 7343.63636139 7343.78346103
 7344.39615954]"
7,667252_2023-09-28_A-14,MOs,True,"[  20.07395189   20.24391814   20.34661789 ... 7344.07299366 7344.34572633
 7344.57152577]"
8,667252_2023-09-28_A-18,MOs,True,"[  19.83785246   19.85441909   19.88378568 ... 7344.52979254 7344.58242575
 7344.65109225]"
9,667252_2023-09-28_A-19,MOs,True,"[  27.26920098   28.16683212   29.72209498 ... 7343.73782781 7344.32402638
 7344.36052629]"
10,667252_2023-09-28_A-20,MOs,True,"[  20.24485147   20.33438458   20.39775109 ... 7344.19439336 7344.30135977
 7344.48482599]"
11,667252_2023-09-28_A-23,MOs,True,"[  19.87711903   19.89748565   19.9178856  ... 7344.60005904 7344.62679231
 7344.63279229]"
12,667252_2023-09-28_A-26,MOs,True,"[  19.85461909   19.8631524    19.8766857  ... 7344.59639238 7344.61839233
 7344.62335898]"
13,667252_2023-09-28_A-27,MOs,True,"[  19.85305243   19.91635227   19.97375213 ... 7344.64599226 7344.6546589
 7344.6680922 ]"
14,667252_2023-09-28_A-29,MOs,True,"[  20.51261748   21.00388295   21.03588287 ... 7343.91939403 7343.96439392
 7344.30739309]"
15,667252_2023-09-28_A-33,MOs,True,"[  19.82891915   19.85938574   19.87291904 ... 7344.46882602 7344.53839252
 7344.62202565]"
16,667252_2023-09-28_A-36,MOs,True,"[  21.82171428   22.9049783    32.51165484 ... 7335.02024911 7335.1725154
 7342.72693028]"
17,667252_2023-09-28_A-38,MOs,True,"[  19.89738565   19.91881893   19.95645217 ... 7344.41819281 7344.55595914
 7344.57692576]"
18,667252_2023-09-28_A-40,MOs,True,"[  20.66448378   20.94378309   20.95514973 ... 7338.64197359 7338.79383989
 7340.59793548]"
