,unit_id,structure,is_qc_pass,spike_times
0,743199_2024-12-05_A-3,ND,True,"[  20.72099098   20.99979006   21.20855603 ... 7022.61343963 7022.86670545
 7023.3527705 ]"
1,743199_2024-12-05_A-5,PAG,True,"[  22.65268455   23.13831627   33.43444865 ... 7021.90804198 7022.0208416
 7022.88520539]"
2,743199_2024-12-05_A-7,PAG,True,"[  20.22402597   20.31882566   20.36312551 ... 7023.50167    7023.53473656
 7023.55296983]"
3,743199_2024-12-05_A-14,PAG,True,"[  22.69861773   31.91188705   35.01944337 ... 7016.30149398 7019.85961547
 7023.21297097]"
4,743199_2024-12-05_A-15,PAG,True,"[  20.28919242   20.74089092   20.90079039 ... 7023.2924707  7023.34877051
 7023.53906988]"
5,743199_2024-12-05_A-19,PAG,True,"[  26.31737235   26.66353786   31.07588983 ... 7008.25382078 7013.34030384
 7022.51173997]"
6,743199_2024-12-05_A-24,PAG,True,"[  21.17638947   22.68598444   23.04114992 ... 7015.86312878 7019.14475118
 7022.41257363]"
7,743199_2024-12-05_A-25,PAG,True,"[  20.21355934   20.27105915   20.2761258  ... 7023.50826998 7023.52520326
 7023.56633646]"
8,743199_2024-12-05_A-28,PAG,True,"[  20.39062542   20.41965865   20.60819136 ... 7023.29530403 7023.39743702
 7023.54053654]"
9,743199_2024-12-05_A-29,PAG,True,"[  21.01465667   21.09138975   21.0967564  ... 7023.03807155 7023.12977124
 7023.45527016]"
10,743199_2024-12-05_A-32,PAG,True,"[  20.72525764   21.215556     21.24295591 ... 7022.33367389 7022.91000531
 7023.41613696]"
11,743199_2024-12-05_A-33,PAG,True,"[  20.28809243   20.32049232   20.32452564 ... 7023.54376986 7023.55426983
 7023.5644698 ]"
12,743199_2024-12-05_A-34,PAG,True,"[  21.38728877   22.45291855   22.74418425 ... 7022.32397393 7023.08943804
 7023.11030464]"
13,743199_2024-12-05_A-37,PAG,True,"[  20.57019149   20.57669147   20.67709113 ... 7023.13140457 7023.20790432
 7023.21553762]"
14,743199_2024-12-05_A-38,PAG,True,"[  20.56055819   20.68735776   20.93735693 ... 7023.08330473 7023.18053774
 7023.20947098]"
15,743199_2024-12-05_A-40,PAG,True,"[  20.67992445   20.98445677   21.00489004 ... 7023.08520473 7023.13287123
 7023.41483696]"
16,743199_2024-12-05_A-41,PAG,True,"[  20.39075875   20.68319111   21.07898979 ... 7022.303374   7022.9336719
 7023.0828714 ]"
17,743199_2024-12-05_A-43,PAG,True,"[  20.42649197   20.63695793   21.08968976 ... 7022.3813404  7022.81220563
 7023.19160437]"
18,743199_2024-12-05_A-44,PAG,True,"[  20.35402554   20.59259141   20.74655757 ... 7022.64433953 7022.79043904
 7022.86660545]"
19,743199_2024-12-05_A-45,MB,True,"[  21.0756898    22.17385281   24.62307799 ... 7020.76207913 7021.42691025
 7021.56560979]"
20,743199_2024-12-05_A-46,MB,True,"[  20.29625907   20.39849206   20.66972449 ... 7023.42703692 7023.4930367
 7023.53380323]"
21,743199_2024-12-05_A-50,NPC,True,"[  20.2363926    20.2551592    20.28229245 ... 7023.37400376 7023.40753698
 7023.45467016]"
22,743199_2024-12-05_A-58,NPC,True,"[  21.36878883   24.17857947   24.85181056 ... 7023.51636996 7023.52950325
 7023.53170324]"
23,743199_2024-12-05_A-60,NPC,True,"[  20.33352561   20.35295888   20.37122548 ... 7022.94450519 7023.09873801
 7023.48643672]"
24,743199_2024-12-05_A-61,NPC,True,"[  20.2469259    20.33415894   20.42689196 ... 7023.05963814 7023.2927707
 7023.49967001]"
25,743199_2024-12-05_A-63,MB,True,"[  20.24429257   20.27245915   20.29019242 ... 7023.48883671 7023.51503663
 7023.5432032 ]"
26,743199_2024-12-05_A-64,MB,True,"[  20.23885926   20.29532574   20.32732563 ... 7023.51293663 7023.53423656
 7023.56483646]"
27,743199_2024-12-05_A-65,MB,True,"[  20.23379261   20.28462577   20.33749226 ... 7023.49603669 7023.53363657
 7023.56546979]"
28,743199_2024-12-05_A-67,MB,True,"[  20.2264593    20.25215921   20.27792579 ... 7023.4728701  7023.48630339
 7023.55310317]"
29,743199_2024-12-05_A-68,MB,True,"[  20.26112585   20.29449241   20.33565893 ... 7023.17463776 7023.38200374
 7023.47817008]"
30,743199_2024-12-05_A-70,OP,True,"[  20.38005879   27.74663425   36.96317023 ... 7000.25778075 7008.90075196
 7021.60554299]"
31,743199_2024-12-05_A-71,OP,True,"[  20.22149265   20.23735926   20.24979255 ... 7023.53183657 7023.54823652
 7023.5631698 ]"
32,743199_2024-12-05_A-74,OP,True,"[  20.76792416   20.97175682   26.1525729  ... 6996.94259179 6998.84628545
 7019.28228406]"
33,743199_2024-12-05_A-80,SUB,True,"[  20.93972359   21.37465547   21.43742193 ... 7011.75320913 7018.95698514
 7022.84050554]"
34,743199_2024-12-05_A-81,SUB,True,"[  20.45535854   21.00602337   21.42312198 ... 7022.93937188 7023.01350496
 7023.47767008]"
