,unit_id,structure,is_qc_pass,spike_times
0,741137_2024-10-10_B-0,MRN,True,"[  19.9521723    20.05373859   20.13823829 ... 7396.36092604 7396.41502585
 7396.46262567]"
1,741137_2024-10-10_B-3,MRN,True,"[  19.96507225   20.00897209   20.06697188 ... 7396.48662559 7396.52395878
 7396.55989199]"
2,741137_2024-10-10_B-4,MRN,True,"[  20.35633749   24.27825651   29.25513836   37.61430786   38.64443743
   44.62694894   51.79608945   53.58261626   63.54801324   74.56543971
   75.39703667   75.89580152   76.25223355   77.8843276    82.41304441
   82.72234328   82.7729431    82.96717572   83.43350735   85.31503382
   89.49681856   90.8756802    93.35860447   98.22468672  106.63315604
  110.24797619  110.88597386  115.95465537  118.53051263  120.31697278
  123.14166248  128.04907791  128.23577722  135.26685157  145.29008167
  145.96087922  152.49522205  152.83875413  153.68195105  155.34234499
  159.79166209  163.94061362  164.31307893  168.14366495  169.83275879
  172.32134971  173.24717967  175.42710505  180.00092169  183.88687418
  192.27981023  197.73735698  201.48930996  204.61449856  205.30299604
  205.77659432  205.90146053  206.04749333  206.18885948  206.20119277
  208.38661813  208.56571747  208.970116    210.53401029  211.79053904
  214.52786239  214.60342878  214.91816096  217.74015067  223.52699622
  227.29844913  227.51321501  228.06637966  229.81757327  230.54783727
  234.69042216  241.04879896  241.70892988  244.03398807  246.34041298
  246.84331115  249.35630198  249.38323522  249.54480129  252.67228988
  260.19202911  260.3503952   260.51689459  260.92419311  262.6996533
  265.53550962  268.6107984   270.39782521  274.25407781  274.35617744
  274.65427635  274.73164273  277.28360009  280.31042238  284.63427327
  288.59789214  289.12565688  290.95968352  299.71585158  301.56804482
  302.77880707  310.28634634  310.53937875  314.4652311   314.75069672
  321.38283919  321.49923877  321.68023811  322.21480282  328.3410138
  328.82407871  328.85957858  330.3695064   331.83836771  332.77063098
  338.55490987  339.26570728  339.90277162  340.93660118  343.90839034
  345.47131797  345.51745114  345.64841732  345.7732502   348.29084102
  350.06010123  361.20626056  367.12193898  371.3372236   378.48666418
  381.35515372  382.62098243  383.3522131   386.26510247  386.31346896
  386.65460105  387.08383281  388.67232702  392.52011298  393.05864435
  397.25852902  398.8922564   408.18845581  412.99290495  413.8753684
  415.24876339  416.27345965  416.53992534  416.61692506  416.72305801
  420.51931082  423.33590055  424.77452863  425.4607928   429.36217856
  430.522041    433.03089851  433.16616468  437.3624827   439.53974143
  440.36787174  446.4905494   446.91491452  447.5235123   454.913352
  457.31484324  459.21506964  459.88713386  460.30096568  460.35453215
  462.80085656  463.07138891  463.11412208  463.70798658  469.34883267
  470.00116362  470.49816181  471.01925991  471.25455905  472.83188663
  472.95345285  478.05553424  478.7055652   479.4163626   479.94392735
  480.92772376  483.28984847  492.03924988  492.53621474  493.24307882
  493.87870984  495.06893883  495.57703698  495.67163663  495.6791366
  496.08476846  496.3298009   503.80610695  510.62351541  513.20800598
  513.54403809  514.20443568  514.68486726  515.03103266  517.42649059
  519.25818391  520.90451123  527.63098669  530.85030828  531.20034034
  536.08838917  540.81007194  541.44583629  543.0048306   543.95202714
  544.02996019  551.98029785  554.17065653  563.03422419  564.25105308
  568.67287028  569.78449956  570.09989841  575.19671315  575.86874403
  580.3722276   580.65039325  584.83201133  590.36105782  591.06515525
  599.42255809  602.17374806  606.59549859  616.58472881  623.72436943
  626.67189201  630.24574563  630.38164514  633.90159896  639.79791078
  644.03419533  645.43512355  652.95269612  659.18260672  668.27670688
  672.20459255  673.8629865   674.5096508   680.61516186  681.09256012
  692.82105066  697.69899953  698.14729789  702.93748042  705.92090287
  705.97170268  711.90801436  717.02276236  722.60814198  723.86017075
  724.17676959  725.21439914  725.76949711  736.89872318  740.05781165
  740.35157725  741.42347333  743.50233242  745.07289335  745.08622664
  750.78210586  762.09873123  762.53329632  762.99479463  785.83127798
  787.15977313  792.88291892  802.89101574  805.97243783  806.29693664
  807.01756735  808.74092773  809.33015891  809.52855819  810.15412257
  812.86047936  817.08573061  822.19134532  825.76046563  826.8012285
  830.85478038  834.47713383  834.58863342  843.9494326   846.74918905
  848.71968186  853.99869594  857.33778375  862.65719768  871.70659799
  879.1136043   879.54443607  879.90740141  886.95667569  887.27610786
  897.39410427  909.91912524  911.24505374  915.98456978  921.93214808
  922.47611276  929.9672521   930.085585    930.56684991  953.72613208
  974.84085504  978.97600662  986.5550123  1000.3796952  1002.00325594
 1002.73491994 1006.08140773 1010.05582656 1010.70002421 1012.03175268
 1013.68454665 1027.30843028 1033.39170808 1035.33606766 1039.06308739
 1047.03912496 1048.48828634 1056.05855872 1059.6983121  1061.34770609
 1067.73664944 1070.40010639 1076.4724509  1077.10744859 1083.96982355
 1085.15878588 1085.44458484 1087.71687655 1098.92576898 1107.85410307
 1111.21255749 1125.94173708 1145.99423059 1149.10555257 1149.5721842
 1157.25365617 1164.44829659 1169.62144438 1184.37089057 1188.75120792
 1205.30904751 1235.19903845 1262.36440601 1266.45709108 1266.5058909
 1275.16452597 1276.64985389 1298.71500672 1309.38000114 1327.94010009
 1328.88362998 1351.65584689 1367.613722   1376.42805651 1377.04565426
 1402.12619609 1403.36262491 1413.77028694 1418.27100385 1430.68152523
 1445.10593927 1460.05218474 1474.8829973  1481.28110729 1483.27573334
 1491.39263706 1505.8085178  1517.11304322 1534.92307824 1539.33699547
 1572.40634148 1576.55375968 1595.70598981 1596.06708849 1612.49202856
 1633.5328518  1647.15156877 1648.79372945 1652.56608235 1708.74764404
 1710.41743795 1734.64284956 1752.85704977 1796.29202463 1799.36421342
 1819.9357717  1845.46894521 1851.12482458 1964.30267831 1976.79953272
 2106.19782727 2195.72603396 2247.01754682 2281.00945614 2290.2656557
 2300.87378366 2359.46253657 2374.46548183 2492.89911639 2639.19108264
 2643.71816612 2679.45553573 2734.01413668 2785.74608126 2870.41807234
 2916.63133706 2950.10814825 2981.69646634 3012.53005384 3016.68687201
 3059.8204813  3185.14942404 3273.66736774 3274.43633161 3388.28884955
 3491.77523864 3499.6425766  3523.35375676 3688.64525369 3704.15773043
 3750.11716274 3763.99744544 3783.23420858 3794.7147667  3803.11246939
 3933.13889499 3969.82442781 3971.9535867  3997.86735882 4051.45732997
 4068.20746885 4079.38386141 4084.4571429  4092.1595148  4111.97837582
 4117.76898803 4131.62713747 4135.37319047 4171.95785699 4203.46797535
 4288.96439675 4310.5861512  4336.30995735 4336.86298866 4354.24399191
 4355.24605492 4359.23984035 4361.30329949 4403.66857825 4405.39327196
 4452.99556495 4465.11252074 4469.00003989 4474.93125158 4492.87721944
 4501.45938813 4513.14757882 4513.54761069 4524.18243856 4538.11322106
 4579.46413686 4581.45172961 4601.4546233  4631.08384853 4643.64776935
 4651.8036396  4660.12750923 4665.23555726 4676.28525028 4687.71294191
 4702.72798713 4704.27794814 4728.26762728 4741.135747   4779.06317529
 4809.56246401 4814.26664685 4832.33944758 4833.11404475 4857.05925739
 4860.0793797  4901.87399388 4918.49899989 4997.6506111  5009.13620253
 5011.00622904 5028.10839998 5028.20056631 5038.93356048 5047.18136372
 5052.17467884 5053.06290893 5078.62098235 5108.70533925 5139.79282583
 5168.5600542  5175.95782721 5206.56714887 5244.67060985 5272.71270754
 5349.62856024 5357.00206667 5368.26219226 5384.26540053 5392.90540234
 5397.02108733 5431.38339529 5448.81186504 5449.07589741 5468.73219236
 5479.01785483 5486.19682864 5487.88508914 5489.18891772 5502.34186973
 5519.24267473 5539.1951686  5567.69343129 5568.48599507 5587.13846035
 5640.85246437 5712.02910468 5728.44571145 5757.52980534 5777.83149794
 5798.84412127 5849.05593807 5896.40743198 5915.75729471 5918.61031764
 5920.76237645 5957.55927553 5992.16308261 6022.56490502 6048.36367756
 6072.89628806 6088.66393053 6093.20391396 6126.87212446 6131.20520865
 6166.51181316 6178.43646966 6240.79644214 6258.57241061 6279.3055683
 6318.12479334 6340.52627827 6386.2536781  6398.37430054 6460.26974139
 6473.09166127 7143.99671347 7211.092002   7359.30179459 7387.4828251 ]"
3,741137_2024-10-10_B-5,MRN,True,"[  19.92027241   19.97330555   20.06947187 ... 7396.51402549 7396.55395867
 7396.58942521]"
4,741137_2024-10-10_B-8,MRN,True,"[  20.13097165   20.17870481   20.20190472 ... 7396.3649927  7396.45155905
 7396.59059187]"
5,741137_2024-10-10_B-10,MRN,True,"[  19.91887242   20.06003857   23.80955822 ... 7377.02096327 7393.24367075
 7393.51946975]"
6,741137_2024-10-10_B-11,MRN,True,"[  20.31697097   20.85190235   21.31640065 ... 7391.97784204 7392.14594142
 7395.27896333]"
7,741137_2024-10-10_B-13,MB,True,"[  20.04030531   20.06417189   20.37803741 ... 7396.06056047 7396.18596002
 7396.58149191]"
8,741137_2024-10-10_B-14,MB,True,"[  19.94940564   20.07580518   20.10137175 ... 7396.40572588 7396.4194925
 7396.45089238]"
9,741137_2024-10-10_B-17,MB,True,"[  24.9404541    25.26871957   39.14226895 ... 7388.78232036 7389.32218506
 7390.9643124 ]"
10,741137_2024-10-10_B-19,MB,True,"[  19.93763902   19.99880546   20.08600514 ... 7396.29992627 7396.42619247
 7396.54539204]"
11,741137_2024-10-10_B-24,SCiw,True,"[  19.92087241   19.9333057    19.96127227 ... 7396.32912616 7396.37025934
 7396.41289252]"
12,741137_2024-10-10_B-29,SCiw,True,"[  20.3171043    21.00666845   21.08656816 ... 7396.32899283 7396.39679258
 7396.57969191]"
13,741137_2024-10-10_B-37,SCiw,True,"[  20.37147077   20.3810374    20.39113736 ... 7396.01212732 7396.17196007
 7396.20185996]"
14,741137_2024-10-10_B-38,SCiw,True,"[  21.77283232   22.26103054   22.39526338 ... 7381.21838129 7394.66063225
 7396.31352622]"
15,741137_2024-10-10_B-39,SCiw,True,"[  20.11423837   20.12683833   20.13010498 ... 7391.47477721 7395.42099614
 7396.02416061]"
16,741137_2024-10-10_B-40,SCiw,True,"[  20.10437174   20.19083809   20.20773803 ... 7396.06859378 7396.10569364
 7396.53399208]"
17,741137_2024-10-10_B-41,SCiw,True,"[  19.93090571   19.94490566   19.97233889 ... 7381.45074711 7382.09637809
 7389.4211847 ]"
18,741137_2024-10-10_B-42,SCiw,True,"[  19.9256724    19.96583892   20.01477207 ... 7388.13838938 7388.86482006
 7390.25018167]"
